job,operation,machine,start,end,duration,energy
11,9,1,0.0,2.1,2.1,10.0
10,9,5,0.0,3.3,3.3,7.9
3,9,3,0.0,1.3,1.3,8.4
12,4,3,1.3,7.0,5.7,6.3
9,4,1,2.1,4.800000000000001,2.7000000000000006,6.8
4,4,2,0.0,3.7,3.7,8.2
2,4,4,0.0,4.9,4.9,6.3
12,12,4,7.0,8.4,1.4000000000000004,9.0
9,12,3,7.0,9.8,2.8000000000000007,6.7
5,12,1,4.800000000000001,14.100000000000001,9.3,1.4
1,12,1,14.100000000000001,23.400000000000002,9.3,1.4
11,13,5,3.3,6.8,3.5,9.4
5,13,5,14.100000000000001,17.6,3.5,9.4
3,13,4,8.4,12.600000000000001,4.200000000000001,6.3
11,3,3,9.8,18.3,8.5,3.1
9,3,3,18.3,26.8,8.5,3.1
4,3,2,3.7,13.399999999999999,9.7,2.2
3,3,5,17.6,20.200000000000003,2.6000000000000014,8.3
11,5,4,18.3,22.6,4.300000000000001,4.8
6,5,2,13.399999999999999,15.7,2.3000000000000007,8.8
4,5,4,22.6,26.900000000000002,4.300000000000001,4.8
1,5,4,26.900000000000002,31.200000000000003,4.300000000000001,4.8
12,8,2,15.7,19.4,3.6999999999999993,5.9
12,10,1,23.400000000000002,30.400000000000002,7.0,5.2
10,10,3,26.8,32.5,5.699999999999999,4.6
9,8,1,30.400000000000002,38.7,8.3,1.9
7,8,3,32.5,34.4,1.8999999999999986,10.0
6,10,4,31.200000000000003,37.1,5.899999999999999,3.5
5,10,4,37.1,43.0,5.899999999999999,3.5
2,10,5,20.200000000000003,22.900000000000002,2.6999999999999993,7.2
1,8,1,38.7,47.0,8.299999999999997,1.9
12,6,2,30.400000000000002,33.2,2.8000000000000007,8.7
8,6,4,43.0,49.3,6.299999999999997,4.7
2,6,5,22.900000000000002,24.3,1.3999999999999986,10.0
12,2,5,33.2,40.6,7.399999999999999,2.8
7,2,1,47.0,49.4,2.3999999999999986,10.0
4,2,1,49.4,51.8,2.3999999999999986,10.0
2,2,3,34.4,43.2,8.800000000000004,1.5
12,14,5,40.6,50.5,9.899999999999999,1.0
7,14,3,49.4,57.599999999999994,8.199999999999996,2.8
5,14,3,57.599999999999994,65.8,8.200000000000003,2.8
2,14,5,50.5,60.4,9.899999999999999,1.0
11,7,1,51.8,58.3,6.5,3.5
9,7,4,49.3,58.8,9.5,1.0
3,7,4,58.8,68.3,9.5,1.0
11,15,5,60.4,67.8,7.399999999999999,2.7
9,15,2,58.8,61.599999999999994,2.799999999999997,8.6
6,15,4,68.3,76.6,8.299999999999997,1.0
5,15,5,67.8,75.2,7.400000000000006,2.7
3,15,4,76.6,84.89999999999999,8.299999999999997,1.0
11,1,2,67.8,77.39999999999999,9.599999999999994,2.5
8,1,3,65.8,73.39999999999999,7.599999999999994,1.7
4,1,3,73.39999999999999,80.99999999999999,7.599999999999994,1.7
1,1,2,77.39999999999999,86.99999999999999,9.599999999999994,2.5
11,11,1,77.39999999999999,87.1,9.700000000000003,1.0
10,11,1,87.1,96.8,9.700000000000003,1.0
8,11,4,84.89999999999999,93.99999999999999,9.099999999999994,1.0
5,11,1,96.8,106.5,9.700000000000003,1.0
3,11,3,84.89999999999999,94.39999999999999,9.5,2.9
